source_word,target_word,source_pos,target_pos,morpheme,type,segments
axial,abaxial,J,J,ab,prefix,"('ab#', 'axial')"
moral,amoral,J,J,a,prefix,"('a#', 'moral')"
indústria,industrial,N,J,al,suffix,"('indústria', '#al')"
cor,coral,N,J,al,suffix,"('cor', '#al')"
alegre,alegria,J,N,ia,suffix,"('alegre', '#ia')"
gust,disgust,N,N,dis,prefix,"('dis#', 'gust')"
variable,invariable,J,J,in,prefix,"('in#', 'variar', '#able')"
acusar,acusació,V,N,ció,suffix,"('acusar', '#ció')"
cultural,multicultural,J,J,multi,prefix,"('multi#', 'cultura', '#al')"
amarg,amargura,J,N,ura,suffix,"('amarg', '#ura')"
vena,venal,N,J,al,suffix,"('vena', '#al')"
rectangle,rectangular,N,J,ar,suffix,"('rectangle', '#ar')"
barba,barber,N,N,er,suffix,"('barba', '#er')"
mina,miner,N,N,er,suffix,"('mina', '#er')"
prop,proper,R,J,er,suffix,"('prop', '#er')"
tia,bestia,N,N,bes,prefix,"('bes#', 'tia')"
evitable,inevitable,J,J,in,prefix,"('in#', 'evitable')"
adaptar,adaptable,V,J,able,suffix,"('adaptar', '#able')"
turc,Turquia,J,N,ia,suffix,"('turc', '#ia')"
ornament,ornamental,N,J,al,suffix,"('ornament', '#al')"
cap,cabut,N,J,ut,suffix,"('cap', '#ut')"
data,datar,N,V,ar,suffix,"('data', '#ar')"
abús,abusar,N,V,ar,suffix,"('abús', '#ar')"
dent,dental,N,J,al,suffix,"('dent', '#al')"
cameral,bicameral,J,J,bi,prefix,"('bi#', 'cameral')"
possible,impossible,J,J,in,prefix,"('in#', 'possible')"
semita,antisemita,J,J,anti,prefix,"('anti#', 'semita')"
labial,bilabial,J,J,bi,prefix,"('bi#', 'labial')"
despertar,despertador,V,N,dor,suffix,"('despert', '#ar', '#dor')"
corn,cornada,N,N,ada,suffix,"('corn', '#ada')"
considerar,considerable,V,J,able,suffix,"('considerar', '#able')"
gaita,gaiter,N,N,er,suffix,"('gaita', '#er')"
moral,immoral,J,J,in,prefix,"('in#', 'moral')"
reversible,irreversible,J,J,in,prefix,"('in#', 'reversible')"
Martí,martinet,N,N,et,suffix,"('Martí', '#et')"
serva,server,N,N,er,suffix,"('serva', '#er')"
continent,continental,N,J,al,suffix,"('continent', '#al')"
