source_word,target_word,source_pos,target_pos,morpheme,type,segments
axial,abaxial,J,J,ab,prefix,"('ab#', 'axial')"
Laut,ablaut,N,N,ab,prefix,"('ab#', 'Laut')"
China,Chinese,N,N,ese,suffix,"('China', '#ese')"
Liste,listen,N,V,en,suffix,"('Liste', '#en')"
fallen,befallen,V,V,be,prefix,"('be#', 'fallen')"
tun,betun,N,V,be,prefix,"('be#', 'tun')"
Taiwan,Taiwaner,N,N,er,suffix,"('Taiwan', '#er')"
Instrument,instrumental,N,J,al,suffix,"('Instrument', '#al')"
Mut,mutig,N,J,ig,suffix,"('Mut', '#ig')"
bestellen,Bestellung,V,N,ung,suffix,"('be#', 'stellen', '#ung')"
Vietnam,Vietnamese,N,N,ese,suffix,"('Vietnam', '#ese')"
lang,langsam,J,J,sam,suffix,"('lang', '#sam')"
Wissen,Wissenschaft,N,N,schaft,suffix,"('Wissen', '#schaft')"
England,englisch,N,J,isch,suffix,"('England', '#isch')"
Engel,englisch,N,J,isch,suffix,"('England', '#isch')"
schicken,Schicksal,V,N,sal,suffix,"('schicken', '#sal')"
Lette,lettisch,N,J,isch,suffix,"('Lette', '#isch')"
setzen,übersetzen,V,V,über,prefix,"('über#', 'setzen')"
teilen,Teilung,V,N,ung,suffix,"('teilen', '#ung')"
abteilen,Abteilung,V,N,ung,suffix,"('ab#', 'teilen', '#ung')"
C,Ces,N,N,es,suffix,"('C', '#es')"
Zahl,zahlen,N,V,en,suffix,"('Zahl', '#en')"
zählen,zählbar,V,J,bar,suffix,"('zählen', '#bar')"
Arzt,Ärztin,N,N,in,suffix,"('Arzt', '#in')"
schlagen,beschlagen,V,V,be,prefix,"('be#', 'schlagen')"
suchen,Besuch,V,N,be,prefix,"('be#', 'suchen')"
Bote,Botschaft,N,N,schaft,suffix,"('Bote', '#schaft')"
stören,zerstören,V,V,zer,prefix,"('zer#', 'stören')"
Störung,Zerstörung,N,N,zer,prefix,"('zer#', 'stören', '#ung')"
Zier,zierlich,N,J,lich,suffix,"('Zier', '#lich')"
Rücken,zurück,N,R,zu,prefix,"('zu#', 'Rücken')"
bringen,zurückbringen,V,V,zurück,prefix,"('zurück#', 'bringen')"
nützlich,Nützlichkeit,J,N,keit,suffix,"('Nutzen', '#lich', '#keit')"
rauben,Räuber,V,N,er,suffix,"('rauben', '#er')"
Spanien,spanisch,N,J,isch,suffix,"('Spanien', '#isch')"
Japan,japanisch,N,J,isch,suffix,"('Japan', '#isch')"
gesund,Gesundheit,J,N,heit,suffix,"('gesund', '#heit')"
Kitt,kitten,N,V,en,suffix,"('Kitt', '#en')"
orthodox,unorthodox,J,J,un,prefix,"('un#', 'orthodox')"
Tier,Riesentier,N,N,riesen,prefix,"('riesen#', 'Tier')"
bereit,bereits,J,R,s,suffix,"('bereit', '#s')"
Piemont,Piemontese,N,N,ese,suffix,"('Piemont', '#ese')"
Adverb,adverbial,N,J,ial,suffix,"('Adverb', '#ial')"
gar,ungar,J,J,un,prefix,"('un#', 'gar')"
Haus,Häuschen,N,N,chen,suffix,"('Haus', '#chen')"
kleben,zusammenkleben,V,V,zusammen,prefix,"('zusammen#', 'kleben')"
leiten,Leiter,V,N,er,suffix,"('leiten', '#er')"
Freund,Freundin,N,N,in,suffix,"('Freund', '#in')"
Klang,Zusammenklang,N,N,zusammen,prefix,"('zusammen#', 'Klang')"
Mensch,übermensch,N,N,über,prefix,"('über#', 'Mensch')"
Palatum,palatal,N,J,al,suffix,"('Palatum', '#al')"
Abgunst,abgünstig,N,J,ig,suffix,"('Abgunst', '#ig')"
Gunst,Missgunst,N,N,miss,prefix,"('miss#', 'Gunst')"
enden,beenden,N,V,be,prefix,"('be#', 'enden')"
achten,verachten,V,V,ver,prefix,"('ver#', 'Acht', '#en')"
Abscheu,verabscheuen,N,V,ver,prefix,"('ver#', 'Abscheu')"
fühlen,Gefühl,V,N,ge,prefix,"('ge#', 'fühlen')"
Fundament,fundamental,N,J,al,suffix,"('Fundament', '#al')"
Form,formal,N,J,al,suffix,"('Form', '#al')"
Minister,Außenminister,N,N,außen,prefix,"('außen#', 'Minister')"
Wesen,wesentlich,N,J,lich,suffix,"('Wesen', '#lich')"
Rippe,Gerippe,N,N,ge,prefix,"('ge#', 'Rippe')"
Acht,Achtung,N,N,ung,suffix,"('Acht', '#ung')"
Begriff,Grundbegriff,N,N,grund,prefix,"('grund#', 'Begriff')"
keilen,Keiler,V,N,er,suffix,"('keilen', '#er')"
Kosten,kostenlos,N,J,los,suffix,"('Kosten', '#los')"
Jude,jüdisch,N,J,isch,suffix,"('Jude', '#isch')"
entschuldigen,Entschuldigung,V,N,ung,suffix,"('ent#', 'Schuld', '#ig', '#ung')"
Proportion,proportional,N,J,al,suffix,"('Proportion', '#al')"
Gold,golden,N,J,en,suffix,"('Gold', '#en')"
übersetzen,Übersetzung,V,N,ung,suffix,"('über#', 'setzen', '#ung')"
Willkür,willkürlich,N,J,lich,suffix,"('Willkür', '#lich')"
Weib,weiblich,N,J,lich,suffix,"('Weib', '#lich')"
hören,gehören,V,V,ge,prefix,"('ge#', 'hören')"
Ehegatte,Ehegattin,N,N,in,suffix,"('Ehegatte', '#in')"
Gatte,Gattin,N,N,in,suffix,"('Gatte', '#in')"
Gemahl,Gemahlin,N,N,in,suffix,"('Gemahl', '#in')"
wachsen,erwachsen,V,J,er,prefix,"('er#', 'wachsen')"
wachsen,auswachsen,V,V,aus,prefix,"('aus#', 'wachsen')"
stehen,aufstehen,N,V,auf,prefix,"('auf#', 'stehen')"
heben,erheben,V,V,er,prefix,"('er#', 'heben')"
sterben,versterben,V,V,ver,prefix,"('ver#', 'sterben')"
führen,Führer,V,N,er,suffix,"('führen', '#er')"
stehen,verstehen,N,V,ver,prefix,"('ver#', 'stehen')"
Magd,Mädchen,N,N,chen,suffix,"('Magd', '#chen')"
lehren,Lehrer,V,N,er,suffix,"('lehren', '#er')"
ein,hinein,R,R,hin,prefix,"('hin#', 'ein')"
aus,hinaus,J,R,hin,prefix,"('hin#', 'aus')"
aus,heraus,J,R,her,prefix,"('her#', 'aus')"
Gemüt,gemütlich,N,J,lich,suffix,"('ge#', 'Mut', '#lich')"
lingual,bilingual,J,J,bi,prefix,"('bi#', 'lingual')"
strafen,bestrafen,V,V,be,prefix,"('be#', 'strafen')"
verbinden,Verbindung,V,N,ung,suffix,"('ver#', 'binden', '#ung')"
gewöhnlich,ungewöhnlich,J,J,un,prefix,"('un#', 'gewöhnen', '#lich')"
Tag,täglich,N,J,lich,suffix,"('Tag', '#lich')"
Marxismus,Marxist,N,N,ist,suffix,"('Marx', '#ismus', '#ist')"
gehen,vorgehen,V,V,vor,prefix,"('vor#', 'gehen')"
strukturiert,unstrukturiert,J,J,un,prefix,"('un#', 'strukturieren', '#t')"
vollständig,unvollständig,J,J,un,prefix,"('un#', 'voll#', 'ständig')"
feststellen,Feststellung,V,N,ung,suffix,"('fest#', 'stellen', '#ung')"
wiederverwendbar,Wiederverwendbarkeit,J,N,keit,suffix,"('wieder#', 'ver#', 'wenden', '#bar', '#keit')"
Haltung,Unterhaltung,N,N,unter,prefix,"('unter#', 'halten', '#ung')"
unterstützen,Unterstützung,V,N,ung,suffix,"('unter#', 'stützen', '#ung')"
stützen,unterstützen,V,V,unter,prefix,"('unter#', 'stützen')"
abhängig,unabhängig,J,J,un,prefix,"('un#', 'ab#', 'hängen', '#ig')"
sprechen,widersprechen,V,V,wider,prefix,"('wider#', 'sprechen')"
versorgen,Versorgung,V,N,ung,suffix,"('ver#', 'sorgen', '#ung')"
Vielfalt,vielfältig,N,J,ig,suffix,"('viel', '#falt', '#ig')"
blenden,ausblenden,V,V,aus,prefix,"('aus#', 'blenden')"
fassen,umfassen,V,V,um,prefix,"('um#', 'fassen')"
ergänzen,Ergänzung,V,N,ung,suffix,"('er#', 'ganz', '#ung')"
belohnen,Belohnung,V,N,ung,suffix,"('be#', 'lohnen', '#ung')"
fordern,erfordern,V,V,er,prefix,"('er#', 'fordern')"
wachen,überwachen,J,V,über,prefix,"('über#', 'wachen')"
aufmerksam,Aufmerksamkeit,J,N,keit,suffix,"('aufmerken', '#sam', '#keit')"
Sicht,sichtbar,N,J,bar,suffix,"('Sicht', '#bar')"
Kapital,Kapitalismus,N,N,ismus,suffix,"('Kapital', '#ismus')"
ordnen,Ordnung,V,N,ung,suffix,"('ordnen', '#ung')"
Etymologie,etymologisch,N,J,isch,suffix,"('Etymologie', '#isch')"
brechen,Verbrechen,V,N,ver,prefix,"('ver#', 'brechen')"
decken,entdecken,V,V,ent,prefix,"('ent#', 'Dach', '#en')"
entdecken,Entdeckung,V,N,ung,suffix,"('ent#', 'Dach', '#en', '#ung')"
fair,unfair,J,J,un,prefix,"('un#', 'fair')"
Satz,Ansatz,N,N,an,prefix,"('an#', 'Satz')"
Satan,Satanist,N,N,ist,suffix,"('Satan', '#ist')"
sexuell,homosexuell,J,J,homo,prefix,"('homo#', 'sexuell')"
Sekretär,Sekretärin,N,N,in,suffix,"('Sekretär', '#in')"
abkürzen,Abkürzung,V,N,ung,suffix,"('ab#', 'kurz', '#en', '#ung')"
Laut,Ablaut,N,N,ab,prefix,"('ab#', 'Laut')"
Analphabet,Analphabetismus,N,N,ismus,suffix,"('Analphabet', '#ismus')"
beamen,Beamer,V,N,er,suffix,"('beamen', '#er')"
besetzen,Besetzung,V,N,ung,suffix,"('be#', 'setzen', '#ung')"
boxen,Boxer,V,N,er,suffix,"('boxen', '#er')"
browse,Browser,V,N,er,suffix,"('browse', '#er')"
Gänger,Doppelgänger,N,N,doppel,prefix,"('doppel#', 'Gang', '#er')"
falten,Falter,V,N,er,suffix,"('falten', '#er')"
Farm,Farmer,N,N,er,suffix,"('Farm', '#er')"
Franzose,Französisch,N,N,isch,suffix,"('Franzose', '#isch')"
fundamental,Fundamentalist,J,N,ist,suffix,"('Fundament', '#al', '#ist')"
gaffen,Gaffer,V,N,er,suffix,"('gaffen', '#er')"
Hamburg,Hamburger,N,J,er,suffix,"('Hamburg', '#er')"
Held,Heldin,N,N,in,suffix,"('Held', '#in')"
lasten,Laster,V,N,er,suffix,"('lasten', '#er')"
Lehrer,Lehrerin,N,N,in,suffix,"('lehren', '#er', '#in')"
Lette,Lettisch,N,N,isch,suffix,"('Lette', '#isch')"
massieren,Masseur,V,N,eur,suffix,"('Masse', '#ieren', '#eur')"
Metall,Metaller,N,N,er,suffix,"('Metall', '#er')"
Meter,Millimeter,N,N,milli,prefix,"('milli#', 'Meter')"
Meter,Nanometer,N,N,nano,prefix,"('nano#', 'Meter')"
pennen,Penner,V,N,er,suffix,"('pennen', '#er')"
Piano,Pianist,N,N,ist,suffix,"('Piano', '#ist')"
pissen,Pisser,V,N,er,suffix,"('pissen', '#er')"
Pop,Popper,N,N,er,suffix,"('Pop', '#er')"
reiten,Ritter,V,N,er,suffix,"('reiten', '#er')"
Saxophon,Saxophonist,N,N,ist,suffix,"('Saxophon', '#ist')"
scannen,Scanner,V,N,er,suffix,"('scannen', '#er')"
schleppen,Schlepper,V,N,er,suffix,"('schleppen', '#er')"
singen,Singer,V,N,er,suffix,"('singen', '#er')"
spannen,Spanner,V,N,er,suffix,"('spannen', '#er')"
spinnen,Spinner,V,N,er,suffix,"('spinnen', '#er')"
Student,Studi,N,N,i,suffix,"('Student', '#i')"
Terror,Terrorist,N,N,ist,suffix,"('Terror', '#ist')"
Laut,Umlaut,N,N,um,prefix,"('um#', 'Laut')"
Violine,Violinist,N,N,ist,suffix,"('Violine', '#ist')"
walken,Walker,V,N,er,suffix,"('walken', '#er')"
wandern,Wanderer,V,N,er,suffix,"('wandern', '#er')"
weben,Weber,V,N,er,suffix,"('weben', '#er')"
