source_word,target_word,source_pos,target_pos,morpheme,type,segments
peru,peruke,N,N,ke,suffix,"('perä', '#u', '#ke')"
marista,marina,N,N,na,suffix,"('marista', '#na')"
ajaa,ajo,V,N,o,suffix,"('ajaa', '#o')"
itää,itu,V,N,u,suffix,"('itää', '#u')"
mataa,made,V,N,e,suffix,"('mataa', '#e')"
lipeä,live,N,N,e,suffix,"('lipeä', '#e')"
valvoa,valve,V,N,e,suffix,"('valvoa', '#e')"
ottaa,otto,V,N,o,suffix,"('ottaa', '#o')"
valta,valtio,N,N,io,suffix,"('valta', '#io')"
elää,ele,V,N,e,suffix,"('elää', '#e')"
sitoa,side,V,N,e,suffix,"('sitoa', '#e')"
sini,sine,N,N,e,suffix,"('sini', '#e')"
astua,asti,V,U,i,suffix,"('astua', '#i')"
appaa,ape,V,N,e,suffix,"('appaa', '#e')"
verta,verto,N,N,o,suffix,"('verta', '#o')"
vetää,veto,V,N,o,suffix,"('vetää', '#o')"
lentää,lento,V,N,o,suffix,"('lentää', '#o')"
taika,taikoa,N,V,oa,suffix,"('taika', '#oa')"
isä,iso,N,J,o,suffix,"('isä', '#o')"
kehä,keho,N,N,o,suffix,"('kehä', '#o')"
olla,olio,N,N,io,suffix,"('olla', '#io')"
puna,punainen,N,J,inen,suffix,"('puna', '#inen')"
sini,sininen,N,J,inen,suffix,"('sini', '#inen')"
kelta,keltainen,J,J,inen,suffix,"('kelta', '#inen')"
jännittää,jännite,V,N,e,suffix,"('jännittää', '#e')"
tehdä,teho,V,N,o,suffix,"('tehdä', '#o')"
kattaa,katto,V,N,o,suffix,"('kattaa', '#o')"
kirja,kirjoittaa,N,V,oittaa,suffix,"('kirja', '#oittaa')"
gramma,kilogramma,V,N,kilo,prefix,"('kilo#', 'gramma')"
suora,suorakulmio,J,N,kulmio,suffix,"('suora', '#kulmio')"
pistää,piste,V,N,e,suffix,"('pistää', '#e')"
sana,sanoa,N,V,oa,suffix,"('sana', '#oa')"
valmis,valmistaa,J,V,taa,suffix,"('valmis', '#taa')"
tuo,toinen,V,J,inen,suffix,"('tuo', '#inen')"
ajattaa,ajatella,V,V,ella,suffix,"('ajaa', '#ttaa', '#ella')"
halu,haluta,N,V,ta,suffix,"('halu', '#ta')"
kerta,kertoa,N,V,oa,suffix,"('kerta', '#oa')"
seura,seurata,N,V,ata,suffix,"('seura', '#ata')"
vasta-,vastata,U,V,ta,suffix,"('vasta-', '#ta')"
rakas,rakkaus,J,N,us,suffix,"('rakas', '#us')"
kertoa,kertomus,N,N,mus,suffix,"('kerta', '#oa', '#mus')"
mitata,mittari,V,N,ri,suffix,"('mitta', '#ata', '#ri')"
lahdata,lahti,V,N,i,suffix,"('lahdata', '#i')"
anoa,ane,N,N,e,suffix,"('anoa', '#e')"
voima,voimakas,N,J,kas,suffix,"('voida', '#ma', '#kas')"
liha,lihava,N,J,va,suffix,"('liha', '#va')"
ilo,iloinen,N,J,inen,suffix,"('ilo', '#inen')"
suru,surullinen,N,J,llinen,suffix,"('surra', '#u', '#llinen')"
vaara,vaarallinen,N,J,llinen,suffix,"('vaara', '#llinen')"
turva,turvallinen,N,J,llinen,suffix,"('turva', '#llinen')"
arvata,arvella,V,V,ella,suffix,"('arvata', '#ella')"
ero,erota,J,V,ta,suffix,"('erä', '#o', '#ta')"
erota,erottaa,V,V,ttaa,suffix,"('erä', '#o', '#ta', '#ttaa')"
haista,haistaa,N,V,taa,suffix,"('haista', '#taa')"
kuiva,kuivua,J,V,ua,suffix,"('kuiva', '#ua')"
maku,maistaa,N,V,istaa,suffix,"('maku', '#istaa')"
muu,muuttaa,U,V,ttaa,suffix,"('muu', '#ttaa')"
rakas,rakastaa,N,V,taa,suffix,"('rakas', '#taa')"
saha,sahata,N,V,ata,suffix,"('saha', '#ata')"
soida,soittaa,V,V,ttaa,suffix,"('soida', '#ttaa')"
peli,pelata,N,V,ata,suffix,"('peli', '#ata')"
valo,valaista,N,V,aista,suffix,"('valo', '#aista')"
kuu,syyskuu,N,N,syys,prefix,"('syys#', 'kuu')"
loma,lomailla,N,V,illa,suffix,"('loma', '#illa')"
haara,haarukka,N,N,kka,suffix,"('haara', '#kka')"
maa,maattaa,N,V,ttaa,suffix,"('maa', '#ttaa')"
laulaa,laulu,V,N,u,suffix,"('laulaa', '#u')"
potka,potkia,N,V,ia,suffix,"('potka', '#ia')"
surra,suru,N,N,u,suffix,"('surra', '#u')"
nousta,nostaa,V,V,taa,suffix,"('nousta', '#taa')"
kirjata,kirjain,V,N,in,suffix,"('kirja', '#ata', '#in')"
nopea,nopeus,J,N,us,suffix,"('nopea', '#us')"
tilava,tilavuus,J,N,uus,suffix,"('tila', '#va', '#uus')"
teho,tehokas,N,J,kas,suffix,"('tehdä', '#o', '#kas')"
yksi,yksitoista,N,N,toista,suffix,"('yksi', '#toista')"
kaksi,kaksitoista,J,N,toista,suffix,"('kaksi', '#toista')"
valaa,vale,V,N,e,suffix,"('valaa', '#e')"
kolme,kolmetoista,U,N,toista,suffix,"('kolme', '#toista')"
neljä,neljätoista,U,N,toista,suffix,"('neljä', '#toista')"
uida,uimari,V,N,ari,suffix,"('uida', '#ari')"
voida,voima,V,N,ma,suffix,"('voida', '#ma')"
kostaa,kostea,V,J,ea,suffix,"('kostaa', '#ea')"
enä,eno,J,N,o,suffix,"('enä', '#o')"
polkea,polku,V,N,u,suffix,"('polkea', '#u')"
erä,ero,N,N,o,suffix,"('erä', '#o')"
Espanja,espanjalainen,N,J,lainen,suffix,"('Espanja', '#lainen')"
valita,valikko,V,N,kko,suffix,"('valita', '#kko')"
ulkomaa,ulkomaalainen,N,J,lainen,suffix,"('ulko#', 'maa', '#lainen')"
Meksiko,meksikolainen,N,N,lainen,suffix,"('Meksiko', '#lainen')"
vanha,ikivanha,J,J,iki,prefix,"('iki#', 'vanha')"
iku-,ikuinen,U,J,inen,suffix,"('iku-', '#inen')"
murtaa,murre,V,N,e,suffix,"('murtaa', '#e')"
pursua,purse,V,N,e,suffix,"('pursua', '#e')"
hapan,happo,J,N,o,suffix,"('hapan', '#o')"
itä,Lähi-itä,N,N,lähi,prefix,"('lähi#', 'itä')"
