source_word,target_word,source_pos,target_pos,morpheme,type,segments
gram,kilogram,N,N,kilo,prefix,"('kilo#', 'gram')"
sto,presto,N,J,pre,prefix,"('pre#', 'sto')"
deda,deka,N,N,ka,suffix,"('deda', '#ka')"
život,životopis,N,N,opis,suffix,"('život', '#opis')"
pila,pilar,N,N,ar,suffix,"('pila', '#ar')"
sapun,sapunica,N,N,ica,suffix,"('sapun', '#ica')"
magnet,magnetit,N,N,it,suffix,"('magnet', '#it')"
jutra,sutra,N,N,s,prefix,"('s#', 'jutra')"
slava,proslava,N,N,pro,prefix,"('pro#', 'slava')"
oblačiti,naoblačiti,V,V,na,prefix,"('na#', 'oblačiti')"
облачити,наоблачити,V,V,на,prefix,"('на#', 'облачити')"
reč,rečnik,N,N,nik,suffix,"('reč', '#nik')"
реч,речник,N,N,ник,suffix,"('реч', '#ник')"
zračiti,izračiti,V,V,iz,prefix,"('iz#', 'zračiti')"
зрачити,израчити,V,V,из,prefix,"('из#', 'зрачити')"
lȕft,luftirati,N,V,irati,suffix,"('lȕft', '#irati')"
Marin,Marina,N,N,a,suffix,"('Marin', '#a')"
Србија,Србијанац,N,N,нац,suffix,"('Србија', '#нац')"
Srbija,Srbijanac,N,N,nac,suffix,"('Srbija', '#nac')"
svȇt,svetac,N,N,ac,suffix,"('svȇt', '#ac')"
moliti,molba,V,N,ba,suffix,"('moliti', '#ba')"
дода́так,придодатак,N,N,при,prefix,"('при#', 'дода́так')"
dodátak,pridodatak,N,N,pri,prefix,"('pri#', 'dodátak')"
tvar,stvar,N,N,s,prefix,"('s#', 'tvar')"
тва̑р,ствар,N,N,с,prefix,"('с#', 'тва̑р')"
denuti,nadenuti,V,V,na,prefix,"('na#', 'denuti')"
денути,наденути,V,V,на,prefix,"('на#', 'денути')"
rod,narod,N,N,na,prefix,"('na#', 'rod')"
род,народ,N,N,на,prefix,"('на#', 'род')"
raditi,uraditi,V,V,u,prefix,"('u#', 'raditi')"
радити,урадити,V,V,у,prefix,"('у#', 'радити')"
pȗt,putnik,N,N,nik,suffix,"('pȗt', '#nik')"
tresti,trešnja,V,N,nja,suffix,"('tresti', '#nja')"
слати,послати,V,V,по,prefix,"('по#', 'слати')"
slati,poslati,V,V,po,prefix,"('po#', 'slati')"
дати,продати,V,V,про,prefix,"('про#', 'дати')"
dati,prodati,V,V,pro,prefix,"('pro#', 'dati')"
давати,продавати,V,V,про,prefix,"('про#', 'давати')"
davati,prodavati,V,V,pro,prefix,"('pro#', 'davati')"
staviti,predstaviti,V,V,pred,prefix,"('pred#', 'staviti')"
ставити,представити,V,V,пред,prefix,"('пред#', 'ставити')"
mal,malen,J,J,en,suffix,"('mal', '#en')"
kćer,kćerka,N,N,ka,suffix,"('kćer', '#ka')"
кћер,кћерка,N,N,ка,suffix,"('кћер', '#ка')"
grad,gradski,N,J,ski,suffix,"('grad', '#ski')"
град,градски,N,J,ски,suffix,"('град', '#ски')"
praviti,napraviti,V,V,na,prefix,"('na#', 'praviti')"
правити,направити,V,V,на,prefix,"('на#', 'правити')"
slȍn,slonica,N,N,ica,suffix,"('slȍn', '#ica')"
sȉt,nasititi,V,V,na,prefix,"('na#', 'sȉt')"
си̏т,наситити,V,V,на,prefix,"('на#', 'си̏т')"
хладан,хладноћа,J,N,оћа,suffix,"('хладан', '#оћа')"
hladan,hladnoća,J,N,oća,suffix,"('hlad', '#an', '#oća')"
метар,центиметар,N,N,центи,prefix,"('центи#', 'метар')"
metar,centimetar,N,N,centi,prefix,"('centi#', 'metar')"
bȕkva,bukvica,N,N,ica,suffix,"('bȕkva', '#ica')"
ùbica,samoubica,N,N,samo,prefix,"('samo#', 'ùbica')"
ubístvo,samoubistvo,N,N,samo,prefix,"('samo#', 'ubístvo')"
голуб,голубица,N,N,ица,suffix,"('голуб', '#ица')"
golub,golubica,N,N,ica,suffix,"('golub', '#ica')"
