source_word,target_word,source_pos,target_pos,morpheme,type,segments
szentel,megszentel,V,V,meg,prefix,"('meg#', 'szent', '#el')"
sötét,sötétlik,J,V,lik,suffix,"('sötét', '#lik')"
sötét,sötétül,J,V,ül,suffix,"('sötét', '#ül')"
sötét,sötétít,J,V,ít,suffix,"('sötét', '#ít')"
hamis,hamisság,J,N,ság,suffix,"('hamis', '#ság')"
hoz,visszahoz,V,V,vissza,prefix,"('vissza#', 'hoz')"
állít,visszaállít,V,V,vissza,prefix,"('vissza#', 'áll', '#ít')"
emelkedik,felemelkedik,V,V,fel,prefix,"('fel#', 'emel', '#kedik')"
szűz,szüzesség,N,N,ség,suffix,"('szűz', '#ség')"
sós,sósság,J,N,ság,suffix,"('só', '#s', '#ság')"
döf,ledöf,V,V,le,prefix,"('le#', 'döf')"
jogos,jogosság,J,N,ság,suffix,"('jog', '#os', '#ság')"
címke,címkéz,N,V,z,suffix,"('cím', '#ke', '#z')"
eltolódik,eltolódás,V,N,ás,suffix,"('el#', 'tol', '#ódik', '#ás')"
összetett,összetettség,J,N,ség,suffix,"('össze#', 'tesz', '#ett', '#ség')"
beáramlik,beáramlás,V,N,ás,suffix,"('be#', 'áram', '#lik', '#ás')"
tisztátalan,tisztátalanság,J,N,ság,suffix,"('tiszta', '#talan', '#ság')"
hév,heves,N,J,es,suffix,"('hév', '#es')"
ostrom,ostromol,N,V,ol,suffix,"('ostrom', '#ol')"
telepedik,letelepedik,V,V,le,prefix,"('le#', 'telik', '#edik')"
ken,felken,V,V,fel,prefix,"('fel#', 'ken')"
szentel,felszentel,V,V,fel,prefix,"('fel#', 'szent', '#el')"
rejtőzik,elrejtőzik,V,V,el,prefix,"('el#', 'rejt', '#őzik')"
ront,megront,V,V,meg,prefix,"('meg#', 'romlik', '#t')"
hoz,behoz,V,V,be,prefix,"('be#', 'hoz')"
háromszorozódik,megháromszorozódik,V,V,meg,prefix,"('meg#', 'háromszorozódik')"
fegyelem,fegyelmez,N,V,ez,suffix,"('fedd', '#elem', '#ez')"
vidít,felvidít,V,V,fel,prefix,"('fel#', 'vidít')"
könyörület,könyörületes,N,J,es,suffix,"('könyörület', '#es')"
felmagasztal,felmagasztalás,V,N,ás,suffix,"('fel#', 'magasztal', '#ás')"
egyenes,egyenesség,J,N,ség,suffix,"('egyen', '#es', '#ség')"
jel,előjel,N,N,elő,prefix,"('elő#', 'jel')"
térdel,letérdel,V,V,le,prefix,"('le#', 'térd', '#el')"
terít,leterít,V,V,le,prefix,"('le#', 'terül', '#ít')"
botlik,megbotlik,V,V,meg,prefix,"('meg#', 'botlik')"
kapaszkodik,belekapaszkodik,V,V,bele,prefix,"('bele#', 'kap', '#aszkodik')"
bosszul,megbosszul,V,V,meg,prefix,"('meg#', 'bosszul')"
haragít,megharagít,V,V,meg,prefix,"('meg#', 'harag', '#ít')"
nyílik,kinyílik,V,V,ki,prefix,"('ki#', 'nyílik')"
számol,megszámol,V,V,meg,prefix,"('meg#', 'szám', '#ol')"
alázkodik,megalázkodik,V,V,meg,prefix,"('meg#', 'al', '#á', '#z', '#kodik')"
vonul,visszavonul,V,V,vissza,prefix,"('vissza#', 'von', '#ul')"
kiált,kikiált,V,V,ki,prefix,"('ki#', 'kiált')"
olvad,összeolvad,V,V,össze,prefix,"('össze#', 'olvad')"
fordul,elfordul,V,V,el,prefix,"('el#', 'fordul')"
felé,hazafelé,U,R,haza,prefix,"('haza#', 'felé')"
pecsétel,lepecsétel,V,V,le,prefix,"('le#', 'pecsét', '#el')"
bűnös,bűnösség,J,N,ség,suffix,"('bűn', '#ös', '#ség')"
tapogat,megtapogat,V,V,meg,prefix,"('meg#', 'tapogat')"
prés,présel,N,V,el,suffix,"('prés', '#el')"
páros,párosít,N,V,ít,suffix,"('pár', '#os', '#ít')"
zárójel,zárójeles,N,J,es,suffix,"('zárójel', '#es')"
éles,élesít,J,V,ít,suffix,"('él', '#es', '#ít')"
házasít,összeházasít,V,V,össze,prefix,"('össze#', 'ház', '#as', '#ít')"
állóképes,állóképesség,J,N,ség,suffix,"('állóképes', '#ség')"
kapcsolódik,összekapcsolódik,V,V,össze,prefix,"('össze#', 'kapcsol', '#ódik')"
bőszül,felbőszül,V,V,fel,prefix,"('fel#', 'bősz', '#ül')"
semmiz,kisemmiz,V,V,ki,prefix,"('ki#', 'semmiz')"
perkál,kiperkál,V,V,ki,prefix,"('ki#', 'perkál')"
ürít,kiürít,V,V,ki,prefix,"('ki#', 'üreg', '#ít')"
térkép,térképez,N,V,ez,suffix,"('térkép', '#ez')"
vés,vésnök,V,N,nök,suffix,"('vés', '#nök')"
ellenőrizhető,ellenőrizhetőség,J,N,ség,suffix,"('ellenőrizhető', '#ség')"
ás,kiás,V,V,ki,prefix,"('ki#', 'ás')"
övez,felövez,V,V,fel,prefix,"('fel#', 'öv', '#ez')"
futamít,megfutamít,V,V,meg,prefix,"('meg#', 'futamít')"
kérges,kérgesedik,J,V,edik,suffix,"('kéreg', '#es', '#edik')"
heged,beheged,V,V,be,prefix,"('be#', 'heged')"
gyönge,gyöngít,J,V,ít,suffix,"('gyönge', '#ít')"
hangsúly,hangsúlytalan,N,J,talan,suffix,"('hangsúly', '#talan')"
hangsúly,hangsúlyos,N,J,os,suffix,"('hangsúly', '#os')"
olt,elolt,U,V,el,prefix,"('el#', 'olt')"
tölt,eltölt,V,V,el,prefix,"('el#', 'telik', '#t')"
fáradság,fárad,N,V,ad,suffix,maximum recursion depth exceeded
zördül,összezördül,V,V,össze,prefix,"('össze#', 'zördül')"
készült,készültség,J,N,ség,suffix,"('készült', '#ség')"
kopog,kopogtat,V,V,tat,suffix,"('kopog', '#tat')"
hasznosít,újrahasznosít,V,V,újra,prefix,"('újra#', 'haszon', '#os', '#ít')"
szívbeteg,szívbetegség,J,N,ség,suffix,"('szívbeteg', '#ség')"
mérnök,mérnökség,N,N,ség,suffix,"('mér', '#nök', '#ség')"
hosszabbít,hosszabbítás,V,N,ás,suffix,"('hosszabb', '#ít', '#ás')"
