source_word,target_word,source_pos,target_pos,morpheme,type,segments
үер,үерлэх,N,V,лэх,suffix,"('үер', '#лэх')"
хязгаар,хязгааргүй,J,J,гүй,suffix,"('хязгаар', '#гүй')"
хийсвэржих,хийсвэржилт,V,N,лт,suffix,"('хийсвэржих', '#лт')"
шилжүүлэх,шилжүүлэгч,V,N,гч,suffix,"('шилжих', '#үүлэх', '#гч')"
юм,юмтай,J,J,тай,suffix,"('юм', '#тай')"
бие,биет,N,J,т,suffix,"('бие', '#т')"
дүүрэх,дүүргэх,V,V,гэх,suffix,"('дүүрэх', '#гэх')"
багтаах,багтаамж,V,N,мж,suffix,"('багтаах', '#мж')"
ургах,ургамал,V,N,мал,suffix,"('ургах', '#мал')"
хувь,хувилах,N,V,лах,suffix,"('хувь', '#лах')"
хуулах,хуулбар,V,N,бар,suffix,"('хуулах', '#бар')"
канон,канондох,N,V,дох,suffix,"('канон', '#дох')"
хуулбар,хуулбарлах,N,V,лах,suffix,"('хуулах', '#бар', '#лах')"
сүйтгэх,сүйтгэгч,V,N,гч,suffix,"('сүйтгэх', '#гч')"
мөрдөх,мөрдөгч,V,N,гч,suffix,"('мөр', '#дөх', '#гч')"
тандах,тандагч,V,N,гч,suffix,"('тандах', '#гч')"
мэдрэх,мэдрэмж,V,N,мж,suffix,"('мэдрэх', '#мж')"
цаглаш,цаглашгүй,J,J,гүй,suffix,"('цаглаш', '#гүй')"
харилцах,харилцаа,V,N,аа,suffix,"('харилцах', '#аа')"
дарангуйлах,дарангуйлагч,V,N,гч,suffix,"('дарангуйлах', '#гч')"
үзэгдэх,үзэгдэл,V,N,л,suffix,"('үзэх', '#гдэх', '#л')"
найруулах,найруулагч,V,N,гч,suffix,"('найруулах', '#гч')"
зай,зайтай,N,J,тай,suffix,"('зай', '#тай')"
үзүүр,үзүүргүй,N,J,гүй,suffix,"('үзүүр', '#гүй')"
бүдэг,бүдэгхэн,J,J,хэн,suffix,"('бүдэг', '#хэн')"
тодорхой,тодорхойгүй,J,J,гүй,suffix,"('тод', '#рох', '#хой', '#гүй')"
залгих,залгилах,V,V,лах,suffix,"('залгих', '#лах')"
бэлхүүс,бэлхүүсэвч,N,N,вч,suffix,"('бэлхүүс', '#вч')"
тууш,тууштай,J,J,тай,suffix,"('тууш', '#тай')"
тэгш,тэгшлэх,J,V,лэх,suffix,"('тэгш', '#лэх')"
тус,туслах,N,V,лах,suffix,"('тус', '#лах')"
товч,товчхон,J,J,хон,suffix,"('товч', '#хон')"
хандах,хандлага,V,N,лага,suffix,"('хандах', '#лага')"
байх,байдал,V,N,дал,suffix,"('байх', '#дал')"
холбох,холбоо,V,N,оо,suffix,"('холбох', '#оо')"
холбох,холболт,V,N,лт,suffix,"('холбох', '#лт')"
ир,иргүй,N,J,гүй,suffix,"('ир', '#гүй')"
шумбах,шумбагч,V,N,гч,suffix,"('шумбах', '#гч')"
оролцох,оролцоо,V,N,оо,suffix,"('орох', '#лцох', '#оо')"
дуусах,дуусгах,V,V,гах,suffix,"('дуусах', '#гах')"
эцэс,эцэслэх,N,V,лэх,suffix,"('эцэс', '#лэх')"
төгсөх,төгсгөх,V,V,гөх,suffix,"('төгсөх', '#гөх')"
ойлгох,ойлголт,V,N,лт,suffix,"('ойлгох', '#лт')"
удах,удаан,V,N,аан,suffix,"('удах', '#аан')"
