source_word,target_word,source_pos,target_pos,morpheme,type,segments
słowo,słownik,N,N,nik,suffix,"('słowo', '#nik')"
mata,matka,N,N,ka,suffix,"('mata', '#ka')"
dziewczyna,dziewczynka,N,N,ka,suffix,"('dziewczyna', '#ka')"
długi,długość,J,N,ość,suffix,"('długi', '#ość')"
miły,miłość,J,N,ość,suffix,"('miły', '#ość')"
wysoki,wysokość,J,N,ość,suffix,"('wysoki', '#ość')"
książka,książeczka,N,N,eczka,suffix,"('księgi', '#a', '#ka', '#eczka')"
łyżka,łyżeczka,N,N,eczka,suffix,"('łyżka', '#eczka')"
drukować,drukarka,V,N,arka,suffix,"('druk', '#ować', '#arka')"
cebula,cebulka,N,N,ka,suffix,"('cebula', '#ka')"
herbata,herbatka,N,N,ka,suffix,"('herbata', '#ka')"
chłop,chłopak,N,N,ak,suffix,"('chłop', '#ak')"
chłop,chłopiec,N,N,iec,suffix,"('chłop', '#iec')"
nauczyciel,nauczycielka,N,N,ka,suffix,"('na#', 'uczyć', '#ciel', '#ka')"
nauczyć,nauczyciel,V,N,ciel,suffix,"('na#', 'uczyć', '#ciel')"
kwiat,kwiatek,N,N,ek,suffix,"('kwiat', '#ek')"
woda,wódka,N,N,ka,suffix,"('wody', '#a', '#ka')"
wola,wolny,N,J,ny,suffix,"('wola', '#ny')"
Polska,polski,N,J,ski,suffix,"('pole', '#ski', '#ski')"
miły,mile,J,R,e,suffix,"('miły', '#e')"
gram,kilogram,J,N,kilo,prefix,"('kilo#', 'gram')"
Krak,Kraków,N,N,ów,suffix,"('Krak', '#ów')"
złoto,złoty,N,J,y,suffix,maximum recursion depth exceeded
rysa,ryska,N,N,ka,suffix,"('rysa', '#ka')"
kania,kani,N,J,i,suffix,"('kania', '#i')"
marchew,marchewka,N,N,ka,suffix,"('marchew', '#ka')"
para,parka,N,N,ka,suffix,"('para', '#ka')"
wymóc,wymagać,V,V,ać,suffix,"('wy#', 'móc', '#ać')"
Google,googlować,N,V,ować,suffix,"('Google', '#ować')"
ewentualny,ewentualnie,J,R,ie,suffix,"('ewentualny', '#ie')"
oczywisty,oczywiście,J,R,ie,suffix,"('oczywisty', '#ie')"
baba,babi,N,J,i,suffix,"('baba', '#i')"
pieprz,pieprzyć,N,V,yć,suffix,"('pieprz', '#yć')"
wierzba,Wierzbowski,N,N,ski,suffix,"('wierzba', '#ski')"
kilka,kilkanaście,N,N,naście,suffix,"('kilka', '#naście')"
