source_word,target_word,source_pos,target_pos,morpheme,type,segments
axial,abaxial,J,J,ab,prefix,"('ab#', 'axial')"
oral,aboral,J,J,ab,prefix,"('ab#', 'oral')"
moral,amoral,J,J,a,prefix,"('a#', 'moral')"
cento,centavo,N,N,avo,suffix,"('cento', '#avo')"
globo,global,N,J,al,suffix,"('globo', '#al')"
indústria,industrial,N,J,al,suffix,"('indústria', '#al')"
música,musical,N,J,al,suffix,"('música', '#al')"
coro,coral,N,N,al,suffix,"('coro', '#al')"
mosca,mosquito,N,N,ito,suffix,"('mosca', '#ito')"
teia,tear,N,N,ar,suffix,"('teia', '#ar')"
jurar,juramento,V,N,mento,suffix,"('jurar', '#mento')"
matar,matador,V,N,dor,suffix,"('matar', '#dor')"
pato,pata,N,N,a,suffix,"('pato', '#a')"
negociar,negociante,V,N,ante,suffix,"('negociar', '#ante')"
viagem,viajar,N,V,ar,suffix,"('viagem', '#ar')"
cultural,multicultural,J,J,multi,prefix,"('multi#', 'cultural')"
amargo,amargura,J,N,ura,suffix,"('amargo', '#ura')"
cérebro,cerebral,N,J,al,suffix,"('cérebro', '#al')"
Itália,italiano,N,J,ano,suffix,"('Itália', '#ano')"
ano,anal,N,J,al,suffix,"('ano', '#al')"
México,mexicano,N,J,ano,suffix,"('México', '#ano')"
estudo,estudar,N,V,ar,suffix,"('estudo', '#ar')"
mover,movimento,V,N,imento,suffix,"('mover', '#imento')"
agricultura,agricultural,N,J,al,suffix,"('agricultura', '#al')"
ângulo,angular,N,V,ar,suffix,"('ângulo', '#ar')"
ornamento,ornamental,N,J,al,suffix,"('ornamento', '#al')"
pagar,pagamento,N,N,mento,suffix,"('paga', '#ar', '#mento')"
abuso,abusar,N,V,ar,suffix,"('abuso', '#ar')"
cameral,bicameral,J,J,bi,prefix,"('bi#', 'cameral')"
labial,bilabial,J,J,bi,prefix,"('bi#', 'labial')"
abandonar,abandonado,V,J,ado,suffix,"('abandono', '#ar', '#ado')"
velo,velar,V,J,ar,suffix,"('velo', '#ar')"
despertar,despertador,N,N,dor,suffix,"('despertar', '#dor')"
ala,alar,N,J,ar,suffix,"('ala', '#ar')"
raça,racismo,N,N,ismo,suffix,"('raça', '#ismo')"
corno,cornada,N,N,ada,suffix,"('corno', '#ada')"
círculo,circular,N,J,ar,suffix,"('círculo', '#ar')"
geral,geralmente,J,R,mente,suffix,"('geral', '#mente')"
Coreia,coreano,N,J,ano,suffix,"('Coreia', '#ano')"
haver,reaver,V,V,re,prefix,"('re#', 'haver')"
Roma,romano,N,J,ano,suffix,"('Roma', '#ano')"
área,areal,N,J,al,suffix,"('área', '#al')"
feudo,feudal,N,J,al,suffix,"('feudo', '#al')"
