source_word,target_word,source_pos,target_pos,morpheme,type,segments
axial,abaxial,J,J,ab,prefix,"('ab#', 'axial')"
Chiapas,chiapaneco,N,J,eco,suffix,"('Chiapas', '#eco')"
moral,amoral,J,J,a,prefix,"('a#', 'mora', '#al')"
ciento,centavo,N,N,avo,suffix,"('ciento', '#avo')"
andar,andante,V,J,ante,suffix,"('andar', '#ante')"
maquilar,maquiladora,V,N,dora,suffix,"('maquila', '#ar', '#dora')"
industria,industrial,N,J,al,suffix,"('industria', '#al')"
paz,paceño,N,J,eño,suffix,"('paz', '#eño')"
ácido,acidosis,J,N,osis,suffix,"('ácido', '#osis')"
banca,bancario,N,J,ario,suffix,"('banco', '#a', '#ario')"
PAN,panista,N,J,ista,suffix,"('PAN', '#ista')"
Chihuahua,chihuahuense,N,J,ense,suffix,"('Chihuahua', '#ense')"
mente,mental,V,J,al,suffix,"('mente', '#al')"
Estados Unidos,estadounidense,N,N,ense,suffix,"('Estados Unidos', '#ense')"
sombra,sombrero,N,N,ero,suffix,"('sombra', '#ero')"
coro,coral,N,J,al,suffix,"('coro', '#al')"
mosca,mosquito,N,N,ito,suffix,"('mosca', '#ito')"
balar,balido,V,N,ido,suffix,"('balar', '#ido')"
marica,mariquita,N,N,ita,suffix,"('María', '#ica', '#ita')"
jurar,juramento,V,N,mento,suffix,"('jurar', '#mento')"
juzgar,juzgado,V,N,ado,suffix,"('juzgar', '#ado')"
juramentar,juramentado,V,N,ado,suffix,"('jurar', '#mento', '#ar', '#ado')"
matar,matador,N,N,dor,suffix,"('matar', '#dor')"
matar,matanza,N,N,anza,suffix,"('matar', '#anza')"
elegante,elegantemente,J,R,mente,suffix,"('elegante', '#mente')"
sangre,sangría,N,N,ía,suffix,"('sangre', '#ía')"
ratón,ratoncito,N,N,cito,suffix,"('rata', '#ón', '#cito')"
rápido,rápidamente,J,R,mente,suffix,"('rápido', '#mente')"
negociar,negociante,V,N,ante,suffix,"('negociar', '#ante')"
controvertible,incontrovertible,J,J,in,prefix,"('in#', 'controvertir', '#ible')"
ancho,anchor,J,N,or,suffix,"('ancho', '#or')"
chingar,chingón,V,J,ón,suffix,"('chingar', '#ón')"
sexual,homosexual,J,J,homo,prefix,"('homo#', 'sexual')"
variable,invariable,J,J,in,prefix,"('in#', 'variable')"
cultural,multicultural,J,J,multi,prefix,"('multi#', 'cultura', '#al')"
amargo,amargura,J,N,ura,suffix,"('amargo', '#ura')"
acreditar,acreditación,V,N,ción,suffix,"('a#', 'crédito', '#ción')"
vena,venal,N,J,al,suffix,"('vena', '#al')"
rectángulo,rectangular,N,J,ar,suffix,"('rectángulo', '#ar')"
nucleo,nuclear,V,J,ar,suffix,"('nucleo', '#ar')"
paloma,palomita,N,N,ita,suffix,"('paloma', '#ita')"
cerebro,cerebral,N,J,al,suffix,"('cerebro', '#al')"
suelto,soltar,J,V,ar,suffix,"('suelto', '#ar')"
arrogar,arrogante,V,J,ante,suffix,"('arrogar', '#ante')"
Cebú,Cebuano,N,N,ano,suffix,"('Cebú', '#ano')"
México,mexicano,N,J,ano,suffix,"('México', '#ano')"
adaptar,adaptable,V,J,able,suffix,"('adaptar', '#able')"
libro,librería,N,N,ería,suffix,"('libro', '#ería')"
sexual,heterosexual,J,J,hetero,prefix,"('hetero#', 'sexual')"
ángulo,angular,N,V,ar,suffix,"('ángulo', '#ar')"
ornamento,ornamental,N,J,al,suffix,"('ornamento', '#al')"
sexual,bisexual,J,J,bi,prefix,"('bi#', 'sexual')"
data,datar,N,V,ar,suffix,"('data', '#ar')"
diluvio,diluvial,N,J,al,suffix,"('diluvio', '#al')"
serie,serial,N,J,al,suffix,"('serie', '#al')"
escrito,escritor,N,N,or,suffix,"('escrito', '#or')"
descubrir,descubrimiento,V,N,miento,suffix,"('des#', 'cubrir', '#miento')"
función,funcionar,N,V,ar,suffix,"('función', '#ar')"
Madrid,madrileño,N,J,eño,suffix,"('Madrid', '#eño')"
fiero,feral,J,J,al,suffix,"('fiero', '#al')"
mora,moral,N,N,al,suffix,"('mora', '#al')"
abuso,abusar,N,V,ar,suffix,"('abuso', '#ar')"
chaqueta,chaquetear,N,V,ear,suffix,"('chaqueta', '#ear')"
cameral,bicameral,J,J,bi,prefix,"('bi#', 'cameral')"
albo,albino,J,J,ino,suffix,"('albo', '#ino')"
faja,fajita,N,N,ita,suffix,"('faja', '#ita')"
