source_word,target_word,source_pos,target_pos,morpheme,type,segments
abdomen,abdominal,N,J,al,suffix,"('abdomen', '#al')"
absolut,absolutism,N,N,ism,suffix,"('absolut', '#ism')"
absolut,absolutist,J,N,ist,suffix,"('absolut', '#ist')"
accept,acceptant,N,N,ant,suffix,"('accept', '#ant')"
glob,global,N,J,al,suffix,"('glob', '#al')"
accelerera,acceleration,V,N,tion,suffix,"('accelerera', '#tion')"
du,dua,N,V,a,suffix,"('du', '#a')"
hamstra,hamstring,V,N,ing,suffix,"('hamster', '#a', '#ing')"
handla,handling,V,N,ing,suffix,"('handla', '#ing')"
bete,beta,N,V,a,suffix,"('be#', 'te', '#a')"
ta,beta,V,V,be,prefix,"('be#', 'te', '#a')"
meter,kilometer,N,N,kilo,prefix,"('kilo#', 'meter')"
meter,millimeter,N,N,milli,prefix,"('milli#', 'meter')"
data,dator,N,N,or,suffix,"('data', '#or')"
vision,television,N,N,tele,prefix,"('tele#', 'vision')"
protest,protestant,N,N,ant,suffix,"('protest', '#ant')"
violin,violinist,N,N,ist,suffix,"('violin', '#ist')"
piano,pianist,R,N,ist,suffix,"('piano', '#ist')"
radie,radian,N,N,an,suffix,"('radie', '#an')"
trombon,trombonist,N,N,ist,suffix,"('trombon', '#ist')"
vegetarian,vegetarianism,N,N,ism,suffix,"('vegetarian', '#ism')"
final,semifinal,J,N,semi,prefix,"('semi#', 'final')"
materiell,materialism,J,N,ism,suffix,"('materia', '#ell', '#ism')"
ryss,rysk,N,J,sk,suffix,"('ryss', '#sk')"
översätta,översättning,V,N,ning,suffix,"('över#', 'sätta', '#ning')"
narkotika,narkoman,N,N,man,suffix,"('narkotika', '#man')"
hjälp,hjälplös,N,J,lös,suffix,"('hjälp', '#lös')"
skam,skamlig,N,J,lig,suffix,"('skam', '#lig')"
par,para,N,V,a,suffix,"('par', '#a')"
ör,öring,N,N,ing,suffix,"('ör', '#ing')"
eter,eten,N,N,en,suffix,"('eter', '#en')"
drog,droga,N,V,a,suffix,"('drog', '#a')"
var,vara,V,V,a,suffix,"('var', '#a')"
ni,nia,N,V,a,suffix,"('ni', '#a')"
naturligt,naturligtvis,J,R,vis,suffix,"('naturligt', '#vis')"
ge,ange,N,V,an,prefix,"('an#', 'ge')"
sida,huvudsida,N,N,huvud,prefix,"('huvud#', 'sida')"
norm,normal,N,J,al,suffix,"('norm', '#al')"
absurd,absurditet,J,N,itet,suffix,"('absurd', '#itet')"
Afrika,afrikan,N,N,an,suffix,"('Afrika', '#an')"
terror,terrorist,N,N,ist,suffix,"('terror', '#ist')"
delegera,delegation,V,N,ation,suffix,"('delegera', '#ation')"
arbete,arbeta,N,V,a,suffix,"('arbete', '#a')"
arbeta,arbetare,V,N,are,suffix,"('arbete', '#a', '#are')"
magnet,magnetism,N,N,ism,suffix,"('magnet', '#ism')"
presentera,presentation,V,N,ation,suffix,"('presentera', '#ation')"
oboe,oboist,N,N,ist,suffix,"('oboe', '#ist')"
integrera,integration,V,N,tion,suffix,"('integrera', '#tion')"
borr,borra,N,V,a,suffix,"('borr', '#a')"
symbol,symbolism,N,N,ism,suffix,"('symbol', '#ism')"
reparera,reparation,V,N,tion,suffix,"('reparera', '#tion')"
bastu,basta,N,V,a,suffix,"('bastu', '#a')"
oscillera,oscillation,V,N,tion,suffix,"('oscillera', '#tion')"
band,banda,N,V,a,suffix,"('band', '#a')"
orientera,orienteering,V,N,ing,suffix,"('orientera', '#ing')"
reell,realism,J,N,ism,suffix,"('reell', '#ism')"
ro,bero,V,V,be,prefix,"('be#', 'ro')"
form,forma,N,V,a,suffix,"('form', '#a')"
vara,bevara,V,V,be,prefix,"('be#', 'var', '#a')"
alban,albanska,N,N,ska,suffix,"('Albanien', '#an', '#ska')"
journal,journalist,N,N,ist,suffix,"('journal', '#ist')"
sex,sexa,N,V,a,suffix,"('sex', '#a')"
orgel,organist,N,N,ist,suffix,"('orgel', '#ist')"
mess,messa,N,V,a,suffix,"('mess', '#a')"
mikro,mikra,N,V,a,suffix,"('mikro', '#a')"
ro,oro,N,N,o,prefix,"('o#', 'ro')"
region,regional,N,J,al,suffix,"('region', '#al')"
ö,öbo,N,N,bo,suffix,"('ö', '#bo')"
kunna,kunskap,V,N,skap,suffix,"('kunna', '#skap')"
vis,visdom,N,N,dom,suffix,"('vis', '#dom')"
öl,öla,N,V,a,suffix,"('öl', '#a')"
mina,minera,N,V,era,suffix,"('mina', '#era')"
vikt,viktig,N,J,ig,suffix,"('vikt', '#ig')"
fodra,fodring,V,N,ing,suffix,"('foder', '#a', '#ing')"
special,specialist,J,N,ist,suffix,"('special', '#ist')"
hot,hotfull,J,J,full,suffix,"('hot', '#full')"
översätta,översättare,V,N,are,suffix,"('över#', 'sätta', '#are')"
Polen,polsk,N,J,sk,suffix,"('Polen', '#sk')"
slav,slava,N,V,a,suffix,"('slav', '#a')"
terror,terrorism,N,N,ism,suffix,"('terror', '#ism')"
shoppa,shopping,V,N,ing,suffix,"('shoppa', '#ing')"
nationell,internationell,J,J,inter,prefix,"('inter#', 'nation', '#ell')"
död,dödlig,J,J,lig,suffix,"('död', '#lig')"
dödlig,odödlig,J,J,o,prefix,"('o#', 'död', '#lig')"
modern,postmodern,J,J,post,prefix,"('post#', 'modern')"
stå,förstå,V,V,för,prefix,"('för#', 'stå')"
förstå,missförstå,V,V,miss,prefix,"('miss#', 'för#', 'stå')"
modernism,postmodernism,N,N,post,prefix,"('post#', 'modern', '#ism')"
modern,modernism,J,N,ism,suffix,"('modern', '#ism')"
John,Johnson,N,N,son,suffix,"('John', '#son')"
Per,Person,N,N,son,suffix,"('Per', '#son')"
Japan,japan,N,N,an,suffix,"('Japan', '#an')"
Armenien,armenier,N,N,ier,suffix,"('Armenien', '#ier')"
Amerika,amerikan,N,N,an,suffix,"('Amerika', '#an')"
van,ovan,J,J,o,prefix,"('o#', 'van')"
cello,cellist,N,N,ist,suffix,"('cello', '#ist')"
assistera,assistent,V,N,ent,suffix,"('assistera', '#ent')"
Bolivia,bolivian,N,N,an,suffix,"('Bolivia', '#an')"
pump,pumps,N,N,s,suffix,"('pump', '#s')"
fil,fila,N,V,a,suffix,"('fil', '#a')"
Belgien,belgier,N,N,er,suffix,"('Belgien', '#er')"
dans,dansa,V,V,a,suffix,"('dans', '#a')"
last,lasta,J,V,a,suffix,"('last', '#a')"
